iter	Passed	Remaining
0	143	143297
1	144	71873
2	144	48056
3	145	36147
4	145	29001
5	146	24233
6	146	20831
7	147	18277
8	147	16291
9	148	14702
10	149	13401
11	149	12318
12	150	11404
13	150	10618
14	151	9936
15	151	9339
16	152	8812
17	152	8344
18	153	7925
19	154	7548
20	154	7206
21	155	6894
22	155	6609
23	156	6347
24	156	6107
25	157	5885
26	157	5680
27	158	5491
28	158	5314
29	159	5149
30	159	4995
31	160	4849
32	160	4713
33	161	4584
34	161	4462
35	162	4347
36	162	4238
37	163	4135
38	163	4037
39	164	3944
40	164	3856
41	165	3772
42	165	3691
43	166	3614
44	166	3541
45	167	3474
46	168	3407
47	168	3343
48	169	3281
49	169	3223
50	170	3166
51	170	3112
52	171	3059
53	171	3009
54	172	2961
55	172	2914
56	173	2870
57	174	2826
58	174	2784
59	175	2744
60	175	2704
61	176	2666
62	176	2629
63	177	2593
64	177	2559
65	178	2525
66	179	2493
67	179	2461
68	180	2430
69	180	2400
70	181	2371
71	181	2343
72	182	2316
73	182	2289
74	183	2263
75	184	2237
76	184	2212
77	185	2187
78	185	2164
79	186	2141
80	186	2119
81	187	2097
82	187	2073
83	188	2052
84	188	2032
85	189	2012
86	189	1992
87	190	1973
88	190	1954
89	191	1935
90	191	1917
91	192	1900
92	193	1882
93	193	1865
94	194	1848
95	194	1832
96	195	1816
97	195	1802
98	196	1786
99	196	1771
100	197	1756
101	197	1742
102	198	1728
103	199	1714
104	199	1701
105	200	1688
106	200	1675
107	201	1662
108	201	1649
109	202	1636
110	202	1624
111	203	1612
112	203	1600
113	204	1588
114	204	1576
115	205	1565
116	205	1553
117	206	1542
118	206	1531
119	207	1520
120	207	1509
121	208	1498
122	208	1488
123	209	1478
124	209	1468
125	210	1458
126	210	1448
127	211	1438
128	211	1429
129	212	1420
130	212	1411
131	213	1402
132	213	1393
133	214	1384
134	214	1376
135	215	1367
136	215	1359
137	216	1350
138	216	1342
139	217	1334
140	217	1326
141	218	1317
142	218	1310
143	219	1302
144	219	1294
145	220	1287
146	220	1280
147	221	1273
148	221	1266
149	222	1258
150	222	1251
151	223	1244
152	223	1238
153	224	1231
154	224	1224
155	225	1218
156	225	1211
157	226	1205
158	226	1198
159	227	1192
160	227	1185
161	227	1179
162	228	1173
163	228	1167
164	229	1161
165	230	1155
166	230	1149
167	231	1144
168	231	1138
169	232	1133
170	232	1127
171	233	1122
172	233	1116
173	234	1111
174	234	1106
175	235	1100
176	235	1095
177	236	1090
178	236	1085
179	237	1080
180	237	1075
181	238	1070
182	238	1065
183	239	1061
184	239	1056
185	240	1051
186	240	1046
187	241	1042
188	241	1037
189	242	1033
190	242	1028
191	243	1024
192	243	1019
193	244	1015
194	244	1011
195	245	1006
196	245	1002
197	246	998
198	247	994
199	247	990
200	248	986
201	248	982
202	249	978
203	249	974
204	250	970
205	250	966
206	251	963
207	251	959
208	252	955
209	252	951
210	253	948
211	254	944
212	254	940
213	255	937
214	255	933
215	256	929
216	256	926
217	257	923
218	257	919
219	258	916
220	259	913
221	259	909
222	260	906
223	260	902
224	261	899
225	261	896
226	262	892
227	262	889
228	263	886
229	263	883
230	264	880
231	264	877
232	265	873
233	266	871
234	266	867
235	267	864
236	267	861
237	268	858
238	268	855
239	269	852
240	269	849
241	270	846
242	270	843
243	271	840
244	271	837
245	272	834
246	272	831
247	273	828
248	273	825
249	274	823
250	274	820
251	275	817
252	275	814
253	276	811
254	276	809
255	277	806
256	277	803
257	278	800
258	279	798
259	279	795
260	280	792
261	280	790
262	281	787
263	281	785
264	282	782
265	282	780
266	283	777
267	283	774
268	284	772
269	284	769
270	285	767
271	285	764
272	286	762
273	286	759
274	287	757
275	287	755
276	288	752
277	288	750
278	289	747
279	289	745
280	290	743
281	290	740
282	291	738
283	291	736
284	292	733
285	293	731
286	293	729
287	294	727
288	294	724
289	295	722
290	295	720
291	296	718
292	296	715
293	297	713
294	297	711
295	298	709
296	298	707
297	299	705
298	299	703
299	300	700
300	300	698
301	301	696
302	302	694
303	302	692
304	303	690
305	303	688
306	304	686
307	304	684
308	305	682
309	305	680
310	306	678
311	306	676
312	307	674
313	307	672
314	308	670
315	308	668
316	309	666
317	309	664
318	310	662
319	311	661
320	311	659
321	312	657
322	312	655
323	313	654
324	314	652
325	314	650
326	315	648
327	315	646
328	316	644
329	316	642
330	317	641
331	317	639
332	318	637
333	318	635
334	319	634
335	319	632
336	320	630
337	321	628
338	321	627
339	322	625
340	322	623
341	323	621
342	323	620
343	324	618
344	324	616
345	325	614
346	325	613
347	326	611
348	326	609
349	327	607
350	327	606
351	328	604
352	328	602
353	329	601
354	329	599
355	330	597
356	330	596
357	331	594
358	332	592
359	332	591
360	333	589
361	333	587
362	334	586
363	334	584
364	335	583
365	335	581
366	336	579
367	336	578
368	337	576
369	337	575
370	338	573
371	339	572
372	339	570
373	340	569
374	340	567
375	341	566
376	341	564
377	342	563
378	342	561
379	343	560
380	343	558
381	344	557
382	344	555
383	345	553
384	345	552
385	346	551
386	346	549
387	347	548
388	347	546
389	348	545
390	349	543
391	349	542
392	350	540
393	350	539
394	351	537
395	351	536
396	352	535
397	352	533
398	353	532
399	353	530
400	354	529
401	354	528
402	355	526
403	356	525
404	356	523
405	357	522
406	357	520
407	358	519
408	358	518
409	359	516
410	359	515
411	360	513
412	360	512
413	361	511
414	361	509
415	362	508
416	362	507
417	363	505
418	363	504
419	364	503
420	364	501
421	365	500
422	366	499
423	366	498
424	367	496
425	367	495
426	368	494
427	368	492
428	369	491
429	369	490
430	370	489
431	370	487
432	371	486
433	372	485
434	372	484
435	373	483
436	373	481
437	374	480
438	375	479
439	375	478
440	376	476
441	376	475
442	377	474
443	377	472
444	378	471
445	378	470
446	379	469
447	379	468
448	380	466
449	380	465
450	381	464
451	382	463
452	382	461
453	383	460
454	383	459
455	384	458
456	384	457
457	385	455
458	385	454
459	386	453
460	386	452
461	387	451
462	387	449
463	388	448
464	388	447
465	389	446
466	389	445
467	390	443
468	391	442
469	391	441
470	392	440
471	392	439
472	393	438
473	393	436
474	394	435
475	394	434
476	395	433
477	395	432
478	396	431
479	396	429
480	397	428
481	397	427
482	398	426
483	398	425
484	399	424
485	400	423
486	400	422
487	401	420
488	401	419
489	402	418
490	402	417
491	403	416
492	403	415
493	404	414
494	404	412
495	405	411
496	405	410
497	406	409
498	406	408
499	407	407
500	407	406
501	408	405
502	409	404
503	409	403
504	410	401
505	410	400
506	411	399
507	411	398
508	412	397
509	412	396
510	413	395
511	413	394
512	414	393
513	414	392
514	415	391
515	415	389
516	416	388
517	416	387
518	417	386
519	417	385
520	418	384
521	418	383
522	419	382
523	419	381
524	420	380
525	420	379
526	421	378
527	422	377
528	422	376
529	423	375
530	423	374
531	424	373
532	424	372
533	425	370
534	425	369
535	426	368
536	426	367
537	427	367
538	427	366
539	428	365
540	429	364
541	429	363
542	430	362
543	430	361
544	431	359
545	431	359
546	432	358
547	432	357
548	433	356
549	433	355
550	434	354
551	435	353
552	435	352
553	436	351
554	436	350
555	437	349
556	438	348
557	438	347
558	439	346
559	439	345
560	440	344
561	440	343
562	441	342
563	441	341
564	442	340
565	442	339
566	443	338
567	443	337
568	444	336
569	444	335
570	445	334
571	445	333
572	446	332
573	446	331
574	447	330
575	447	329
576	448	328
577	449	327
578	449	326
579	450	325
580	450	325
581	451	324
582	451	323
583	452	322
584	452	321
585	453	320
586	453	319
587	454	318
588	455	317
589	455	316
590	456	315
591	456	314
592	457	313
593	457	312
594	458	311
595	458	310
596	459	309
597	459	309
598	460	308
599	460	307
600	461	306
601	461	305
602	462	304
603	462	303
604	463	302
605	464	301
606	464	300
607	465	299
608	465	298
609	466	297
610	466	297
611	467	296
612	467	295
613	468	294
614	468	293
615	469	292
616	469	291
617	470	290
618	470	289
619	471	288
620	471	288
621	472	287
622	473	286
623	473	285
624	474	284
625	474	283
626	475	282
627	475	281
628	476	280
629	476	279
630	477	279
631	477	278
632	478	277
633	478	276
634	479	275
635	479	274
636	480	273
637	480	272
638	481	272
639	481	271
640	482	270
641	483	269
642	483	268
643	484	267
644	484	266
645	485	265
646	485	264
647	486	264
648	486	263
649	487	262
650	487	261
651	488	260
652	488	259
653	489	258
654	489	258
655	490	257
656	491	256
657	491	255
658	492	254
659	492	253
660	493	252
661	493	252
662	494	251
663	494	250
664	495	249
665	495	248
666	496	247
667	496	246
668	497	246
669	498	245
670	498	244
671	499	243
672	499	242
673	500	241
674	500	241
675	501	240
676	501	239
677	502	238
678	502	237
679	503	236
680	503	236
681	504	235
682	504	234
683	505	233
684	506	232
685	506	231
686	507	231
687	507	230
688	508	229
689	508	228
690	509	227
691	509	226
692	510	226
693	510	225
694	511	224
695	511	223
696	512	222
697	512	221
698	513	221
699	513	220
700	514	219
701	515	218
702	515	217
703	516	217
704	516	216
705	517	215
706	517	214
707	518	213
708	518	212
709	519	212
710	519	211
711	520	210
712	520	209
713	521	208
714	522	208
715	522	207
716	523	206
717	523	205
718	524	204
719	524	204
720	525	203
721	525	202
722	526	201
723	526	200
724	527	200
725	527	199
726	528	198
727	529	197
728	529	196
729	530	196
730	530	195
731	531	194
732	531	193
733	532	192
734	532	192
735	533	191
736	533	190
737	534	189
738	534	188
739	535	188
740	535	187
741	536	186
742	536	185
743	537	184
744	538	184
745	538	183
746	539	182
747	539	181
748	540	181
749	540	180
750	541	179
751	541	178
752	542	177
753	542	177
754	543	176
755	543	175
756	544	174
757	544	173
758	545	173
759	546	172
760	546	171
761	547	170
762	547	170
763	548	169
764	548	168
765	549	167
766	549	167
767	550	166
768	550	165
769	551	164
770	552	163
771	552	163
772	553	162
773	553	161
774	554	160
775	554	160
776	555	159
777	555	158
778	556	157
779	556	157
780	557	156
781	557	155
782	558	154
783	558	153
784	559	153
785	560	152
786	560	151
787	561	150
788	561	150
789	562	149
790	562	148
791	563	147
792	563	147
793	564	146
794	564	145
795	565	144
796	565	144
797	566	143
798	566	142
799	567	141
800	567	141
801	568	140
802	568	139
803	569	138
804	570	138
805	570	137
806	571	136
807	571	135
808	572	135
809	572	134
810	573	133
811	573	132
812	574	132
813	574	131
814	575	130
815	575	129
816	576	129
817	576	128
818	577	127
819	578	126
820	578	126
821	579	125
822	579	124
823	580	123
824	580	123
825	581	122
826	581	121
827	582	120
828	582	120
829	583	119
830	583	118
831	584	118
832	584	117
833	585	116
834	586	115
835	586	115
836	587	114
837	587	113
838	588	112
839	588	112
840	589	111
841	589	110
842	590	109
843	590	109
844	591	108
845	591	107
846	592	107
847	592	106
848	593	105
849	594	104
850	594	104
851	595	103
852	595	102
853	596	101
854	596	101
855	597	100
856	597	99
857	598	99
858	598	98
859	599	97
860	599	96
861	600	96
862	600	95
863	601	94
864	601	93
865	602	93
866	603	92
867	603	91
868	604	91
869	604	90
870	605	89
871	605	88
872	606	88
873	606	87
874	607	86
875	607	86
876	608	85
877	609	84
878	609	83
879	610	83
880	610	82
881	611	81
882	611	81
883	612	80
884	612	79
885	613	78
886	613	78
887	614	77
888	615	76
889	615	76
890	616	75
891	616	74
892	617	73
893	617	73
894	618	72
895	618	71
896	619	71
897	619	70
898	620	69
899	620	68
900	621	68
901	622	67
902	622	66
903	623	66
904	623	65
905	624	64
906	624	64
907	625	63
908	625	62
909	626	61
910	627	61
911	627	60
912	628	59
913	628	59
914	629	58
915	629	57
916	630	57
917	630	56
918	631	55
919	632	54
920	632	54
921	633	53
922	633	52
923	634	52
924	634	51
925	635	50
926	635	50
927	636	49
928	636	48
929	637	47
930	637	47
931	638	46
932	638	45
933	639	45
934	639	44
935	640	43
936	641	43
937	641	42
938	642	41
939	642	41
940	643	40
941	643	39
942	644	38
943	645	38
944	645	37
945	646	36
946	646	36
947	647	35
948	648	34
949	648	34
950	649	33
951	649	32
952	650	32
953	651	31
954	651	30
955	652	30
956	652	29
957	653	28
958	653	27
959	654	27
960	655	26
961	655	25
962	656	25
963	656	24
964	657	23
965	657	23
966	658	22
967	659	21
968	659	21
969	660	20
970	660	19
971	661	19
972	661	18
973	662	17
974	663	17
975	663	16
976	664	15
977	664	14
978	665	14
979	665	13
980	666	12
981	666	12
982	667	11
983	668	10
984	668	10
985	669	9
986	669	8
987	670	8
988	670	7
989	671	6
990	671	6
991	672	5
992	673	4
993	673	4
994	674	3
995	674	2
996	675	2
997	676	1
998	676	0
999	677	0
